D s LL
0.01 0 -605.214391331352
0.02 0 -605.214391331352
0.05 0 -605.214391331352
0.01 0.01 -605.214391331352
0.02 0.01 -605.214391331352
0.05 0.01 -605.214391331352
0.01 0.02 -605.214391331352
0.02 0.02 -605.214391331352
0.05 0.02 -605.214391331352
0.01 0.03 -605.214391331352
0.02 0.03 -605.214391331352
0.05 0.03 -605.214391331352
0.01 0.04 -605.198301720796
0.02 0.04 -605.214391331352
0.05 0.04 -605.214391331352
0.01 0.05 -605.088108334078
0.02 0.05 -605.214391331352
0.05 0.05 -605.214391331352
0.01 0.06 -605.000282652585
0.02 0.06 -605.214391331352
0.05 0.06 -605.214391331352
0.01 0.07 -604.937129065351
0.02 0.07 -605.215929231518
0.05 0.07 -605.214391331352
0.01 0.08 -604.901208236678
0.02 0.08 -605.162851631179
0.05 0.08 -605.214391331352
0.01 0.09 -604.895366674925
0.02 0.09 -605.065475985667
0.05 0.09 -605.214391331352
0.01 0.1 -604.922769729481
0.02 0.1 -604.991885716881
0.05 0.1 -605.214391331352
