D s LL
0.01 0 -863.489784953534
0.02 0 -863.489784953534
0.05 0 -863.489784953534
0.01 0.01 -863.489784953534
0.02 0.01 -863.489784953534
0.05 0.01 -863.489784953534
0.01 0.02 -863.489784953534
0.02 0.02 -863.489784953534
0.05 0.02 -863.489784953534
0.01 0.03 -863.489784953534
0.02 0.03 -863.489784953534
0.05 0.03 -863.489784953534
0.01 0.04 -863.611516144233
0.02 0.04 -863.489784953534
0.05 0.04 -863.489784953534
0.01 0.05 -863.925094154857
0.02 0.05 -863.489784953534
0.05 0.05 -863.489784953534
0.01 0.06 -864.321687430756
0.02 0.06 -863.489784953534
0.05 0.06 -863.489784953534
0.01 0.07 -864.81625237686
0.02 0.07 -863.606130531673
0.05 0.07 -863.489784953534
0.01 0.08 -865.426645053434
0.02 0.08 -863.99621379532
0.05 0.08 -863.489784953534
0.01 0.09 -866.174206438283
0.02 0.09 -864.388337796071
0.05 0.09 -863.489784953534
0.01 0.1 -867.084466656824
0.02 0.1 -864.878643766696
0.05 0.1 -863.489784953534
