D s LL
0.01 0 -10.8412002798443
0.02 0 -10.6543948822396
0.05 0 -10.6435235404421
0.01 0.01 -10.8412002798443
0.02 0.01 -10.5634517277838
0.05 0.01 -10.5526162289825
0.01 0.02 -10.7811252468326
0.02 0.02 -10.4734476083418
0.05 0.02 -10.4626511993347
0.01 0.03 -10.6891694223969
0.02 0.03 -10.384479553649
0.05 0.03 -10.3737263384999
0.01 0.04 -10.5980446148303
0.02 0.04 -10.2966544920342
0.05 0.04 -10.2859496219006
0.01 0.05 -10.5078360517755
0.02 0.05 -10.2100902313718
0.05 0.05 -10.1994401330121
0.01 0.06 -10.4186375459569
0.02 0.06 -10.1249165310768
0.05 0.06 -10.1113397177659
0.01 0.07 -10.3305523260077
0.02 0.07 -10.0412762722804
0.05 0.07 -9.93360756617653
0.01 0.08 -10.2436939406408
0.02 0.08 -9.95932673359841
0.05 0.08 -9.70160540888055
0.01 0.09 -10.1581872411986
0.02 0.09 -9.87924098011611
0.05 0.09 -9.39584017053725
0.01 0.1 -10.0741694476541
0.02 0.1 -9.8012093733494
0.05 0.1 -9.09391016039775
