D s LL
0.01 0 -176.400726429365
0.02 0 -158.324389584343
0.05 0 -138.499668446469
0.01 0.01 -176.977029620143
0.02 0.01 -158.534536704067
0.05 0.01 -137.769141305762
0.01 0.02 -177.798333463178
0.02 0.02 -159.002457499283
0.05 0.02 -137.303537506315
0.01 0.03 -178.867624229362
0.02 0.03 -159.700541836714
0.05 0.03 -137.109169582746
0.01 0.04 -180.187549451379
0.02 0.04 -160.641959962196
0.05 0.04 -137.191979908665
0.01 0.05 -181.736886420397
0.02 0.05 -161.851576986692
0.05 0.05 -137.557511369023
0.01 0.06 -183.536410804044
0.02 0.06 -163.332129636316
0.05 0.06 -138.210878925895
0.01 0.07 -185.592394394157
0.02 0.07 -165.085934647784
0.05 0.07 -139.156742317923
0.01 0.08 -187.906007215416
0.02 0.08 -167.114875332653
0.05 0.08 -140.399280138198
0.01 0.09 -190.478025506816
0.02 0.09 -169.420389654456
0.05 0.09 -141.942165536944
0.01 0.1 -193.308825074009
0.02 0.1 -172.003459950442
0.05 0.1 -143.788543793382
