D s LL
0.01 0 -195.401934500415
0.02 0 -195.401934500415
0.05 0 -195.401934500415
0.01 0.01 -189.206080930891
0.02 0.01 -188.78389713459
0.05 0.01 -181.244893373705
0.01 0.02 -203.758819221238
0.02 0.02 -172.623746800945
0.05 0.02 -120.441360159206
0.01 0.03 -414.352002690702
0.02 0.03 -522.202921582208
0.05 0.03 -563.607476674974
0.01 0.04 -784.106051221196
0.02 0.04 -842.279259994485
0.05 0.04 -911.810746760615
0.01 0.05 -866.894907666794
0.02 0.05 -948.18034138174
0.05 0.05 -978.952849583966
0.01 0.06 -979.158225155208
0.02 0.06 -1017.00871532584
0.05 0.06 -1031.59180317806
0.01 0.07 -1047.45755219222
0.02 0.07 -1085.35379093138
0.05 0.07 -1075.73493237255
0.01 0.08 -1086.54474184138
0.02 0.08 -1097.63580320568
0.05 0.08 -1095.35988277594
0.01 0.09 -1098.50204743101
0.02 0.09 -1108.15193088386
0.05 0.09 -1107.15006424972
0.01 0.1 -1109.22645321144
0.02 0.1 -1125.94779989311
0.05 0.1 -1131.84559998417
