D s LL
0.01 0 -47.6040804120538
0.02 0 -49.2263007183064
0.05 0 -62.2419143899191
0.01 0.01 -44.6156960972438
0.02 0.01 -46.0122457505052
0.05 0.01 -59.0499608852892
0.01 0.02 -41.6911946107621
0.02 0.02 -42.7782131419689
0.05 0.02 -55.7816611857871
0.01 0.03 -38.8811326844142
0.02 0.03 -39.5656706910541
0.05 0.03 -52.4536751011814
0.01 0.04 -36.2247451442639
0.02 0.04 -36.4363226171411
0.05 0.04 -49.0951532873793
0.01 0.05 -33.7503779409491
0.02 0.05 -33.4699227654871
0.05 0.05 -45.7520423364029
0.01 0.06 -31.4799923727669
0.02 0.06 -30.7544866372473
0.05 0.06 -42.4917103359123
0.01 0.07 -29.4351650065642
0.02 0.07 -28.375723609791
0.05 0.07 -39.4073061942342
0.01 0.08 -27.6411686141522
0.02 0.08 -26.4116299746663
0.05 0.08 -36.6205589817314
0.01 0.09 -26.1280957124457
0.02 0.09 -24.9308561942906
0.05 0.09 -34.2803770850694
0.01 0.1 -24.9299309124812
0.02 0.1 -23.9924800300251
0.05 0.1 -32.5532101542245
