D s LL
0.01 0 -7775.41126129714
0.02 0 -7598.75982706424
0.05 0 -1953.7507295012
0.01 0.01 -7832.51863248642
0.02 0.01 -7809.12691754013
0.05 0.01 -6254.97379706916
0.01 0.02 -7899.09789057084
0.02 0.02 -7932.9445276536
0.05 0.02 -7045.26997561117
0.01 0.03 -7968.49278340325
0.02 0.03 -8050.75438814629
0.05 0.03 -7310.42663418126
0.01 0.04 -8032.3135786425
0.02 0.04 -8171.33603084182
0.05 0.04 -7726.45784747198
0.01 0.05 -8099.064902368
0.02 0.05 -8284.41236362606
0.05 0.05 -7943.29821367164
0.01 0.06 -8175.50653327083
0.02 0.06 -8401.93199364844
0.05 0.06 -8114.45984997068
0.01 0.07 -8257.69939423278
0.02 0.07 -8528.96287022967
0.05 0.07 -8348.98461994937
0.01 0.08 -8337.37071117859
0.02 0.08 -8660.21460095897
0.05 0.08 -8597.85441690738
0.01 0.09 -8415.07943690679
0.02 0.09 -8789.60029359947
0.05 0.09 -8817.60065893754
0.01 0.1 -8495.0023125656
0.02 0.1 -8912.0789982438
0.05 0.1 -9003.5162244205
