D s LL
0.01 0 -379.842280775601
0.02 0 -379.842280775601
0.05 0 -379.842280775601
0.01 0.01 -379.842280775601
0.02 0.01 -379.842280775601
0.05 0.01 -379.842280775601
0.01 0.02 -379.842280775601
0.02 0.02 -379.842280775601
0.05 0.02 -379.842280775601
0.01 0.03 -379.842280775601
0.02 0.03 -379.842280775601
0.05 0.03 -379.842280775601
0.01 0.04 -379.839143160347
0.02 0.04 -379.842280775601
0.05 0.04 -379.842280775601
0.01 0.05 -379.774574179924
0.02 0.05 -379.842280775601
0.05 0.05 -379.842280775601
0.01 0.06 -379.712486327339
0.02 0.06 -379.842280775601
0.05 0.06 -379.842280775601
0.01 0.07 -379.653028436283
0.02 0.07 -379.842280775601
0.05 0.07 -379.842280775601
0.01 0.08 -379.596357942831
0.02 0.08 -379.834062461634
0.05 0.08 -379.842280775601
0.01 0.09 -379.542641368728
0.02 0.09 -379.770275475298
0.05 0.09 -379.842280775601
0.01 0.1 -379.492054830596
0.02 0.1 -379.709015041639
0.05 0.1 -379.842280775601
