D s LL
0.01 0 -554.16854716014
0.02 0 -686.755407581954
0.05 0 -777.216741460349
0.01 0.01 -2376.38024712605
0.02 0.01 -1178.80056992213
0.05 0.01 -611.867421235678
0.01 0.02 -2545.63459774144
0.02 0.02 -2307.00955721583
0.05 0.02 -1738.41521406711
0.01 0.03 -2620.51054088175
0.02 0.03 -2516.65841789574
0.05 0.03 -2287.46424146052
0.01 0.04 -2669.2660660872
0.02 0.04 -2609.80388921634
0.05 0.04 -2458.70619752263
0.01 0.05 -2745.723167667
0.02 0.05 -2689.91306730775
0.05 0.05 -2541.38374884443
0.01 0.06 -2810.93350386533
0.02 0.06 -2792.879856897
0.05 0.06 -2666.92615678708
0.01 0.07 -2862.13412626166
0.02 0.07 -2879.65559068706
0.05 0.07 -2764.17971398375
0.01 0.08 -2912.47350219298
0.02 0.08 -2928.64644499685
0.05 0.08 -2851.49689193168
0.01 0.09 -2954.93846709226
0.02 0.09 -2964.91774584078
0.05 0.09 -2920.6662407732
0.01 0.1 -2987.14804462859
0.02 0.1 -3000.27588332531
0.05 0.1 -2974.32927494761
