D s LL
0.01 0 -331.47701763086
0.02 0 -333.673262003866
0.05 0 -333.637592440448
0.01 0.01 -309.927168782426
0.02 0.01 -317.493394476303
0.05 0.01 -329.374586860034
0.01 0.02 -272.122262320256
0.02 0.02 -274.670024846874
0.05 0.02 -287.08718964429
0.01 0.03 -355.769160255322
0.02 0.03 -311.703617641323
0.05 0.03 -280.096597872836
0.01 0.04 -510.099988114896
0.02 0.04 -471.609866262412
0.05 0.04 -416.124241262102
0.01 0.05 -765.470941962846
0.02 0.05 -747.439279860115
0.05 0.05 -671.660278265926
0.01 0.06 -1016.16160653754
0.02 0.06 -974.440949653328
0.05 0.06 -930.624212145242
0.01 0.07 -1309.05925674952
0.02 0.07 -1236.40807270434
0.05 0.07 -1148.18278910167
0.01 0.08 -1517.06585392005
0.02 0.08 -1425.82199670391
0.05 0.08 -1308.56718297657
0.01 0.09 -1665.38923941931
0.02 0.09 -1621.4824239583
0.05 0.09 -1501.86030101015
0.01 0.1 -1836.30190915288
0.02 0.1 -1836.11646691785
0.05 0.1 -1742.65588127599
