D s LL
0.01 0 -1919.05769374095
0.02 0 -1919.05769374095
0.05 0 -1919.05769374095
0.01 0.01 -1919.05769374095
0.02 0.01 -1919.05769374095
0.05 0.01 -1919.05769374095
0.01 0.02 -1919.05769374095
0.02 0.02 -1919.05769374095
0.05 0.02 -1919.05769374095
0.01 0.03 -1914.89459007253
0.02 0.03 -1919.05769374095
0.05 0.03 -1919.05769374095
0.01 0.04 -1907.54170623566
0.02 0.04 -1918.02185769849
0.05 0.04 -1919.05769374095
0.01 0.05 -1900.52791439298
0.02 0.05 -1912.0066322625
0.05 0.05 -1919.05769374095
0.01 0.06 -1892.92277621555
0.02 0.06 -1903.32160991379
0.05 0.06 -1917.8008227918
0.01 0.07 -1886.65595239105
0.02 0.07 -1893.71109438408
0.05 0.07 -1912.88513004285
0.01 0.08 -1884.17496238808
0.02 0.08 -1887.02360289608
0.05 0.08 -1904.9273097474
0.01 0.09 -1890.67709543547
0.02 0.09 -1885.4897598519
0.05 0.09 -1897.25848492681
0.01 0.1 -1911.60748879535
0.02 0.1 -1896.78718550264
0.05 0.1 -1898.02683421435
