D s LL
0.01 0 -127.602368867936
0.02 0 -133.072382954694
0.05 0 -147.272724642092
0.01 0.01 -115.984092084456
0.02 0.01 -121.777596246922
0.05 0.01 -136.228109230221
0.01 0.02 -112.124362296372
0.02 0.02 -109.910824372133
0.05 0.02 -124.939703365548
0.01 0.03 -225.855580921204
0.02 0.03 -99.0348928332786
0.05 0.03 -113.385745751224
0.01 0.04 -335.865754714175
0.02 0.04 -110.445429937165
0.05 0.04 -102.014874996291
0.01 0.05 -412.089074357834
0.02 0.05 -219.090862113966
0.05 0.05 -95.3976469856818
0.01 0.06 -459.504366054874
0.02 0.06 -327.277447125152
0.05 0.06 -135.975479565724
0.01 0.07 -509.935781050699
0.02 0.07 -389.207251253072
0.05 0.07 -214.286312477741
0.01 0.08 -552.817733758313
0.02 0.08 -441.774119458758
0.05 0.08 -299.98171813563
0.01 0.09 -585.155459971005
0.02 0.09 -489.131170179384
0.05 0.09 -355.859099475562
0.01 0.1 -608.732225040957
0.02 0.1 -529.677373916263
0.05 0.1 -399.185260088265
