D s LL
0.01 0 -12.540652725515
0.02 0 -12.540652725515
0.05 0 -12.540652725515
0.01 0.01 -12.540652725515
0.02 0.01 -12.540652725515
0.05 0.01 -12.540652725515
0.01 0.02 -12.540652725515
0.02 0.02 -12.540652725515
0.05 0.02 -12.540652725515
0.01 0.03 -12.540652725515
0.02 0.03 -12.540652725515
0.05 0.03 -12.540652725515
0.01 0.04 -12.540652725515
0.02 0.04 -12.540652725515
0.05 0.04 -12.540652725515
0.01 0.05 -12.540652725515
0.02 0.05 -12.540652725515
0.05 0.05 -12.540652725515
0.01 0.06 -12.540652725515
0.02 0.06 -12.540652725515
0.05 0.06 -12.540652725515
0.01 0.07 -12.540652725515
0.02 0.07 -12.540652725515
0.05 0.07 -12.4653873287578
0.01 0.08 -12.540652725515
0.02 0.08 -12.540652725515
0.05 0.08 -12.1698443834443
0.01 0.09 -12.540652725515
0.02 0.09 -12.540652725515
0.05 0.09 -11.8760720669002
0.01 0.1 -12.540652725515
0.02 0.1 -12.540652725515
0.05 0.1 -11.5848701151389
