D s LL
0.01 0 -255.197448767455
0.02 0 -255.197448767455
0.05 0 -255.197448767455
0.01 0.01 -255.197448767455
0.02 0.01 -255.197448767455
0.05 0.01 -255.197448767455
0.01 0.02 -255.197448767455
0.02 0.02 -255.197448767455
0.05 0.02 -255.197448767455
0.01 0.03 -255.197448767455
0.02 0.03 -255.197448767455
0.05 0.03 -255.197448767455
0.01 0.04 -255.195521708414
0.02 0.04 -255.197448767455
0.05 0.04 -255.197448767455
0.01 0.05 -255.167745111202
0.02 0.05 -255.197448767455
0.05 0.05 -255.197448767455
0.01 0.06 -255.140691894332
0.02 0.06 -255.197448767455
0.05 0.06 -255.197448767455
0.01 0.07 -255.11438027341
0.02 0.07 -255.197448767455
0.05 0.07 -255.197448767455
0.01 0.08 -255.08882895325
0.02 0.08 -255.191518598108
0.05 0.08 -255.197448767455
0.01 0.09 -255.064057141417
0.02 0.09 -255.163847346048
0.05 0.09 -255.197448767455
0.01 0.1 -255.040084562136
0.02 0.1 -255.136902202201
0.05 0.1 -255.197448767455
