D s LL
0.01 0 -1389.7340481419
0.02 0 -1228.22615308836
0.05 0 -433.479375121537
0.01 0.01 -1448.03434500389
0.02 0.01 -1359.51258495285
0.05 0.01 -1043.32616907457
0.01 0.02 -1506.18905928215
0.02 0.02 -1475.9459626746
0.05 0.02 -1149.89864308172
0.01 0.03 -1562.66280701598
0.02 0.03 -1563.04620264889
0.05 0.03 -1283.98885217558
0.01 0.04 -1604.9072364415
0.02 0.04 -1630.48650412788
0.05 0.04 -1397.70978945654
0.01 0.05 -1639.44409099467
0.02 0.05 -1674.46166710069
0.05 0.05 -1519.83875922719
0.01 0.06 -1668.76146648461
0.02 0.06 -1703.31161242885
0.05 0.06 -1631.34291768576
0.01 0.07 -1692.04248204708
0.02 0.07 -1726.40389776349
0.05 0.07 -1701.05031992197
0.01 0.08 -1709.9594332659
0.02 0.08 -1747.34494918638
0.05 0.08 -1742.79746302827
0.01 0.09 -1724.96169719727
0.02 0.09 -1766.32529777634
0.05 0.09 -1769.12133407036
0.01 0.1 -1738.83242628454
0.02 0.1 -1782.60714645787
0.05 0.1 -1787.60791068711
