D s LL
0.01 0 -28864.0769321987
0.02 0 -28864.0769321987
0.05 0 -28864.0769321987
0.01 0.01 -28864.0769321987
0.02 0.01 -28864.0769321987
0.05 0.01 -28864.0769321987
0.01 0.02 -28043.7240106739
0.02 0.02 -28377.4027558233
0.05 0.02 -28750.7886076812
0.01 0.03 -24507.1608781447
0.02 0.03 -24281.8629947105
0.05 0.03 -25040.230296316
0.01 0.04 -37799.6723945767
0.02 0.04 -28575.4580494595
0.05 0.04 -24455.7675726376
0.01 0.05 -112871.121754372
0.02 0.05 -131689.524525441
0.05 0.05 -149786.735852387
0.01 0.06 -215040.438635037
0.02 0.06 -280661.242660834
0.05 0.06 -341557.12042707
0.01 0.07 -322068.927160901
0.02 0.07 -425165.365432042
0.05 0.07 -500484.241119479
0.01 0.08 -427436.731961092
0.02 0.08 -547280.775646127
0.05 0.08 -633764.701233709
0.01 0.09 -524910.026953413
0.02 0.09 -652526.866142541
0.05 0.09 -748725.3454014
0.01 0.1 -611586.275856445
0.02 0.1 -744421.49126448
0.05 0.1 -849170.390313718
