D s LL
0.01 0 -13.5120039124107
0.02 0 -13.6745624686579
0.05 0 -14.4788439718233
0.01 0.01 -12.5058327593395
0.02 0.01 -12.6362631427515
0.05 0.01 -13.48578289465
0.01 0.02 -11.5216056348223
0.02 0.02 -11.6304447037304
0.05 0.02 -12.447332398811
0.01 0.03 -10.6144641689364
0.02 0.03 -10.6827741450513
0.05 0.03 -11.4407383635529
0.01 0.04 -9.8482100921718
0.02 0.04 -9.8431265979862
0.05 0.04 -10.49360796086
0.01 0.05 -9.35105018890597
0.02 0.05 -9.2150883919674
0.05 0.05 -9.3903808335079
0.01 0.06 -9.40022391783016
0.02 0.06 -9.02780532534023
0.05 0.06 -8.49913278842078
0.01 0.07 -10.6373230963258
0.02 0.07 -9.81177382378324
0.05 0.07 -8.16125078227945
0.01 0.08 -14.5409017564661
0.02 0.08 -12.833053957188
0.05 0.08 -9.0814854220216
0.01 0.09 -23.9080265037431
0.02 0.09 -21.0959521510157
0.05 0.09 -12.9190658981708
0.01 0.1 -42.3702986580708
0.02 0.1 -40.0610061077458
0.05 0.1 -23.3654467508538
