D s LL
0.01 0 -1558.02072193625
0.02 0 -1558.02072193625
0.05 0 -1558.02072193625
0.01 0.01 -1558.02072193625
0.02 0.01 -1558.02072193625
0.05 0.01 -1558.02072193625
0.01 0.02 -1558.02072193625
0.02 0.02 -1558.02072193625
0.05 0.02 -1558.02072193625
0.01 0.03 -1558.41432690462
0.02 0.03 -1558.02072193625
0.05 0.03 -1558.02072193625
0.01 0.04 -1558.71047103382
0.02 0.04 -1558.11007756896
0.05 0.04 -1558.02072193625
0.01 0.05 -1560.58424874946
0.02 0.05 -1559.45758696671
0.05 0.05 -1558.02072193625
0.01 0.06 -1565.23176022698
0.02 0.06 -1562.4951880663
0.05 0.06 -1558.17544501353
0.01 0.07 -1573.98104367223
0.02 0.07 -1568.53947025451
0.05 0.07 -1560.40274921498
0.01 0.08 -1588.95988855092
0.02 0.08 -1580.76212404326
0.05 0.08 -1567.13728733967
0.01 0.09 -1613.9388019265
0.02 0.09 -1601.34520874339
0.05 0.09 -1579.467051845
0.01 0.1 -1654.76313780054
0.02 0.1 -1634.39216573101
0.05 0.1 -1601.91384448711
