D s LL
0.01 0 -70.72217816705
0.02 0 -70.2077007749422
0.05 0 -78.8383247186658
0.01 0.01 -65.0306130256955
0.02 0.01 -63.7919755595166
0.05 0.01 -72.1425424144695
0.01 0.02 -59.5538347697841
0.02 0.02 -57.1413254131786
0.05 0.02 -65.5306969990015
0.01 0.03 -57.6761365258972
0.02 0.03 -51.3523991524702
0.05 0.03 -59.2156931004694
0.01 0.04 -66.704624941841
0.02 0.04 -51.2363806877196
0.05 0.04 -53.901175006418
0.01 0.05 -96.1139382402164
0.02 0.05 -78.8725421534769
0.05 0.05 -52.4201160900712
0.01 0.06 -135.922654879765
0.02 0.06 -132.351491708727
0.05 0.06 -69.4879387774194
0.01 0.07 -161.67147873973
0.02 0.07 -161.147366846716
0.05 0.07 -123.220543962108
0.01 0.08 -174.741835946948
0.02 0.08 -179.614319589962
0.05 0.08 -171.632905141674
0.01 0.09 -185.152600554284
0.02 0.09 -200.353456550342
0.05 0.09 -210.228453862914
0.01 0.1 -197.086332546055
0.02 0.1 -225.708577966551
0.05 0.1 -237.524018468924
