D s LL
0.01 0 -81.8772520449403
0.02 0 -80.4382855747776
0.05 0 -83.3983829886943
0.01 0.01 -68.8575651502329
0.02 0.01 -64.0583812272923
0.05 0.01 -66.7958207979443
0.01 0.02 -93.4498892062041
0.02 0.02 -49.9841268870619
0.05 0.02 -51.2127814315563
0.01 0.03 -184.435990372769
0.02 0.03 -143.046420446692
0.05 0.03 -72.0679085122999
0.01 0.04 -260.714496087191
0.02 0.04 -253.510421104563
0.05 0.04 -237.162232699204
0.01 0.05 -351.551368244869
0.02 0.05 -351.683806836293
0.05 0.05 -309.842502999139
0.01 0.06 -503.967211887612
0.02 0.06 -533.591023800974
0.05 0.06 -458.617706638288
0.01 0.07 -614.081514035146
0.02 0.07 -680.913154726914
0.05 0.07 -626.710536305717
0.01 0.08 -694.635611505675
0.02 0.08 -749.415758430027
0.05 0.08 -718.341516344015
0.01 0.09 -762.512566280091
0.02 0.09 -794.243742562347
0.05 0.09 -770.849761001979
0.01 0.1 -811.70659234801
0.02 0.1 -839.708830887926
0.05 0.1 -812.31872202503
