D s LL
0.01 0 -299.008313764664
0.02 0 -300.587372668939
0.05 0 -303.890172008939
0.01 0.01 -239.655555262909
0.02 0.01 -232.823835492527
0.05 0.01 -245.875876936787
0.01 0.02 -656.457833782321
0.02 0.02 -603.114257769663
0.05 0.02 -551.750110567535
0.01 0.03 -842.838955987509
0.02 0.03 -867.384582077356
0.05 0.03 -842.561275624974
0.01 0.04 -1009.77499489444
0.02 0.04 -1017.55471222122
0.05 0.04 -1029.2387444957
0.01 0.05 -1074.80714666118
0.02 0.05 -1222.58861244796
0.05 0.05 -1292.11988641912
0.01 0.06 -1229.62463952592
0.02 0.06 -1410.46500229855
0.05 0.06 -1430.60179471317
0.01 0.07 -1421.87891169117
0.02 0.07 -1543.85671336914
0.05 0.07 -1608.84169295134
0.01 0.08 -1528.27203893225
0.02 0.08 -1624.87613726914
0.05 0.08 -1667.89663026727
0.01 0.09 -1618.32414543983
0.02 0.09 -1675.19189833332
0.05 0.09 -1678.52423088093
0.01 0.1 -1703.81331940164
0.02 0.1 -1704.93105372852
0.05 0.1 -1686.12505389038
