D s LL
0.01 0 -9.71371665223058
0.02 0 -10.7299547346358
0.05 0 -13.1941043745722
0.01 0.01 -9.43234300906754
0.02 0.01 -10.4477586886011
0.05 0.01 -12.925710439335
0.01 0.02 -9.15292020378507
0.02 0.02 -10.1652298621777
0.05 0.02 -12.6550330107319
0.01 0.03 -8.87634950371849
0.02 0.03 -9.88291286059253
0.05 0.03 -12.3821253531405
0.01 0.04 -8.60364905164263
0.02 0.04 -9.60144460861547
0.05 0.04 -12.1070782062989
0.01 0.05 -8.33595972781835
0.02 0.05 -9.32156082268422
0.05 0.05 -11.8300259070772
0.01 0.06 -8.07455065982256
0.02 0.06 -9.04410214285325
0.05 0.06 -11.5511528029379
0.01 0.07 -7.82082436001706
0.02 0.07 -8.77001988100174
0.05 0.07 -11.2706998689844
0.01 0.08 -7.57632145362686
0.02 0.08 -8.50038135272967
0.05 0.08 -10.9889714313967
0.01 0.09 -7.34272493005804
0.02 0.09 -8.23637476608453
0.05 0.09 -10.7063418954861
0.01 0.1 -7.12186380498494
0.02 0.1 -7.97931363825655
0.05 0.1 -10.4232623769341
