D s LL
0.01 0 -73859.2303339438
0.02 0 -74434.1819690601
0.05 0 -74566.3495369277
0.01 0.01 -74021.9670269132
0.02 0.01 -74581.5245913447
0.05 0.01 -74693.377603527
0.01 0.02 -74179.7338615837
0.02 0.02 -74721.7213584986
0.05 0.02 -74814.2707039302
0.01 0.03 -74333.725152504
0.02 0.03 -74853.919091675
0.05 0.03 -74930.0308509593
0.01 0.04 -74484.5151758147
0.02 0.04 -74977.5115069508
0.05 0.04 -75041.4163486024
0.01 0.05 -74632.184146894
0.02 0.05 -75092.9387706227
0.05 0.05 -75148.7737284541
0.01 0.06 -74776.0335610991
0.02 0.06 -75201.2649890439
0.05 0.06 -75252.5970706989
0.01 0.07 -74914.6574300073
0.02 0.07 -75303.1613900333
0.05 0.07 -75353.357612219
0.01 0.08 -75046.6762383452
0.02 0.08 -75399.5131919583
0.05 0.08 -75451.2314000022
0.01 0.09 -75171.2336245677
0.02 0.09 -75491.2610692366
0.05 0.09 -75546.3653766865
0.01 0.1 -75288.0223048011
0.02 0.1 -75579.0959544851
0.05 0.1 -75638.8116534314
