D s LL
0.01 0 -1230.96172985102
0.02 0 -1303.84233776726
0.05 0 -1478.66997240001
0.01 0.01 -4082.40331955039
0.02 0.01 -2620.61552578716
0.05 0.01 -1216.41919498434
0.01 0.02 -4585.96990917377
0.02 0.02 -4053.61965905426
0.05 0.02 -3223.49144231243
0.01 0.03 -4787.07037756181
0.02 0.03 -4533.16859244138
0.05 0.03 -4133.10286195346
0.01 0.04 -4880.83886028565
0.02 0.04 -4723.73317947868
0.05 0.04 -4527.83835753973
0.01 0.05 -4961.63127553043
0.02 0.05 -4901.92267015347
0.05 0.05 -4654.68374691599
0.01 0.06 -5016.25581713818
0.02 0.06 -4994.80279550445
0.05 0.06 -4816.93631065487
0.01 0.07 -5053.38252005387
0.02 0.07 -5051.77789498159
0.05 0.07 -4943.05124041651
0.01 0.08 -5087.344473048
0.02 0.08 -5094.61114674097
0.05 0.08 -5023.46641282437
0.01 0.09 -5117.56951796611
0.02 0.09 -5124.28235463732
0.05 0.09 -5079.03839279031
0.01 0.1 -5142.97845076819
0.02 0.1 -5146.9686280366
0.05 0.1 -5113.14255173401
