D s LL
0.01 0 -340.471031081542
0.02 0 -340.471031081542
0.05 0 -340.471031081542
0.01 0.01 -340.471031081542
0.02 0.01 -340.471031081542
0.05 0.01 -340.471031081542
0.01 0.02 -340.471031081542
0.02 0.02 -340.471031081542
0.05 0.02 -340.471031081542
0.01 0.03 -340.471031081542
0.02 0.03 -340.471031081542
0.05 0.03 -340.471031081542
0.01 0.04 -340.460816805405
0.02 0.04 -340.471031081542
0.05 0.04 -340.471031081542
0.01 0.05 -340.351281067368
0.02 0.05 -340.471031081542
0.05 0.05 -340.471031081542
0.01 0.06 -340.243454908296
0.02 0.06 -340.471031081542
0.05 0.06 -340.471031081542
0.01 0.07 -340.137420755283
0.02 0.07 -340.471031081542
0.05 0.07 -340.471031081542
0.01 0.08 -340.033265109003
0.02 0.08 -340.437254524837
0.05 0.08 -340.471031081542
0.01 0.09 -339.931078739669
0.02 0.09 -340.328140804693
0.05 0.09 -340.471031081542
0.01 0.1 -339.83095689167
0.02 0.1 -340.22075722618
0.05 0.1 -340.471031081542
