D s LL
0.01 0 -25.5195726792679
0.02 0 -26.1190366629354
0.05 0 -27.3950335715656
0.01 0.01 -24.7997849595847
0.02 0.01 -25.3780003310917
0.05 0.01 -26.6915980594815
0.01 0.02 -24.1331889031404
0.02 0.02 -24.3663830207193
0.05 0.02 -25.389468553776
0.01 0.03 -23.3793883999635
0.02 0.03 -23.0940115388464
0.05 0.03 -23.528146545519
0.01 0.04 -22.4927450946337
0.02 0.04 -21.5083841358215
0.05 0.04 -21.7206868493492
0.01 0.05 -22.0945216235113
0.02 0.05 -20.009697775993
0.05 0.05 -20.0056416024555
0.01 0.06 -22.5148736949134
0.02 0.06 -18.9138546890742
0.05 0.06 -18.4546771225235
0.01 0.07 -25.1885282564148
0.02 0.07 -18.6247481795053
0.05 0.07 -17.2039459949087
0.01 0.08 -33.0252349486975
0.02 0.08 -19.9692095240827
0.05 0.08 -16.5143003020729
0.01 0.09 -50.2463693846846
0.02 0.09 -24.6221084664152
0.05 0.09 -16.8849167649222
0.01 0.1 -73.3158470757838
0.02 0.1 -35.5441821526642
0.05 0.1 -19.2654265343075
