D s LL
0.01 0 -29438.7395934421
0.02 0 -28220.6691551761
0.05 0 -25818.8092314229
0.01 0.01 -30064.6821757861
0.02 0.01 -28898.9519104819
0.05 0.01 -26251.2866074449
0.01 0.02 -30817.934363566
0.02 0.02 -29697.3029560906
0.05 0.02 -26939.1951680299
0.01 0.03 -31628.4033900529
0.02 0.03 -30621.3660237574
0.05 0.03 -27827.1939388808
0.01 0.04 -32444.430092707
0.02 0.04 -31623.8463621972
0.05 0.04 -28873.6447712709
0.01 0.05 -33247.8768561922
0.02 0.05 -32643.7813922084
0.05 0.05 -30049.0737039289
0.01 0.06 -34034.8771980587
0.02 0.06 -33643.1195109381
0.05 0.06 -31298.4456628504
0.01 0.07 -34805.3357060467
0.02 0.07 -34605.5405020991
0.05 0.07 -32550.9356916874
0.01 0.08 -35559.837078619
0.02 0.08 -35526.1606014095
0.05 0.08 -33760.3173304866
0.01 0.09 -36298.5424681648
0.02 0.09 -36405.1701178042
0.05 0.09 -34909.7440737442
0.01 0.1 -37020.9455520396
0.02 0.1 -37244.7328355046
0.05 0.1 -35996.7893889983
