D s LL
0.01 0 -776.24727518404
0.02 0 -776.24727518404
0.05 0 -776.24727518404
0.01 0.01 -776.24727518404
0.02 0.01 -776.24727518404
0.05 0.01 -776.24727518404
0.01 0.02 -776.24727518404
0.02 0.02 -776.24727518404
0.05 0.02 -776.24727518404
0.01 0.03 -775.839900492775
0.02 0.03 -776.24727518404
0.05 0.03 -776.24727518404
0.01 0.04 -774.00849370145
0.02 0.04 -776.24727518404
0.05 0.04 -776.24727518404
0.01 0.05 -772.222132992521
0.02 0.05 -776.205607587602
0.05 0.05 -776.24727518404
0.01 0.06 -770.489042550042
0.02 0.06 -774.795037143422
0.05 0.06 -776.24727518404
0.01 0.07 -768.81905313451
0.02 0.07 -772.993155238935
0.05 0.07 -776.24727518404
0.01 0.08 -767.223930848607
0.02 0.08 -771.241890620553
0.05 0.08 -776.24727518404
0.01 0.09 -765.717773956204
0.02 0.09 -769.550573713807
0.05 0.09 -776.24727518404
0.01 0.1 -764.317490742875
0.02 0.1 -767.94093402845
0.05 0.1 -775.870627822549
