D s LL
0.01 0 -34.0468966818394
0.02 0 -34.0468966818394
0.05 0 -34.0468966818394
0.01 0.01 -34.0468966818394
0.02 0.01 -34.0468966818394
0.05 0.01 -34.0468966818394
0.01 0.02 -34.0468966818394
0.02 0.02 -34.0468966818394
0.05 0.02 -34.0468966818394
0.01 0.03 -34.0468966818394
0.02 0.03 -34.0468966818394
0.05 0.03 -34.0468966818394
0.01 0.04 -34.0468966818394
0.02 0.04 -34.0468966818394
0.05 0.04 -32.662269883336
0.01 0.05 -34.0468966818394
0.02 0.05 -34.0468966818394
0.05 0.05 -30.86635757434
0.01 0.06 -34.0468966818394
0.02 0.06 -33.3799391449674
0.05 0.06 -28.9594941806646
0.01 0.07 -34.0468966818394
0.02 0.07 -31.5250496114102
0.05 0.07 -27.8304723815195
0.01 0.08 -34.0468966818394
0.02 0.08 -29.8078845844252
0.05 0.08 -30.2425818556696
0.01 0.09 -33.5293796452774
0.02 0.09 -28.3834616693936
0.05 0.09 -47.7836248739597
0.01 0.1 -31.9746293829887
0.02 0.1 -28.9122406047954
0.05 0.1 -75.6826641084938
