D s LL
0.01 0 -31.9743888594391
0.02 0 -30.5454080218834
0.05 0 -27.1497461063331
0.01 0.01 -31.9743888594391
0.02 0.01 -30.2920057806146
0.05 0.01 -26.6590905045327
0.01 0.02 -31.9743888594391
0.02 0.02 -30.0374799120844
0.05 0.02 -26.1656076348463
0.01 0.03 -31.780199770188
0.02 0.03 -29.7817732811861
0.05 0.03 -25.6693208577346
0.01 0.04 -31.5582898057389
0.02 0.04 -29.5020985889642
0.05 0.04 -25.1704241508677
0.01 0.05 -31.3120530262458
0.02 0.05 -29.1250747550072
0.05 0.05 -24.6693615298969
0.01 0.06 -31.0650462564284
0.02 0.06 -28.7100053635785
0.05 0.06 -24.1669270238884
0.01 0.07 -30.8172741881949
0.02 0.07 -28.2320221022609
0.05 0.07 -23.6643852292297
0.01 0.08 -30.5688010076625
0.02 0.08 -27.7533066657774
0.05 0.08 -23.1636102609622
0.01 0.09 -30.319782287038
0.02 0.09 -27.2748573349221
0.05 0.09 -22.6672385820774
0.01 0.1 -30.0705065092496
0.02 0.1 -26.7981557089277
0.05 0.1 -22.1788292739096
