D s LL
0.01 0 -28.0405205424181
0.02 0 -27.3969196845792
0.05 0 -26.8776032167818
0.01 0.01 -27.8922224305658
0.02 0.01 -27.2282340116558
0.05 0.01 -26.4962628898356
0.01 0.02 -27.7396726132937
0.02 0.02 -27.0542253397251
0.05 0.02 -26.0663609413129
0.01 0.03 -27.5826545864146
0.02 0.03 -26.874678714853
0.05 0.03 -25.6317578895554
0.01 0.04 -27.4209542816595
0.02 0.04 -26.6893903507378
0.05 0.04 -25.1925480207559
0.01 0.05 -27.254362260676
0.02 0.05 -26.4981707568988
0.05 0.05 -24.7489060252272
0.01 0.06 -27.0826761268068
0.02 0.06 -26.2778457890243
0.05 0.06 -24.301103546921
0.01 0.07 -26.9057031448809
0.02 0.07 -25.8924228113203
0.05 0.07 -23.8495284223273
0.01 0.08 -26.7232630543243
0.02 0.08 -25.5021201720393
0.05 0.08 -23.3947070013412
0.01 0.09 -26.535191055752
0.02 0.09 -25.107130924782
0.05 0.09 -22.937329979401
0.01 0.1 -26.34134094593
0.02 0.1 -24.7077361842317
0.05 0.1 -22.4782821964877
