D s LL
0.01 0 -208.977719632338
0.02 0 -208.977719632338
0.05 0 -208.977719632338
0.01 0.01 -208.977719632338
0.02 0.01 -208.977719632338
0.05 0.01 -208.977719632338
0.01 0.02 -208.977719632338
0.02 0.02 -208.977719632338
0.05 0.02 -208.977719632338
0.01 0.03 -208.977719632338
0.02 0.03 -208.977719632338
0.05 0.03 -208.977719632338
0.01 0.04 -208.978248781493
0.02 0.04 -208.977719632338
0.05 0.04 -208.977719632338
0.01 0.05 -208.986322314549
0.02 0.05 -208.977719632338
0.05 0.05 -208.977719632338
0.01 0.06 -208.994689439589
0.02 0.06 -208.977719632338
0.05 0.06 -208.977719632338
0.01 0.07 -209.003355351389
0.02 0.07 -208.977719632338
0.05 0.07 -208.977719632338
0.01 0.08 -209.012325341557
0.02 0.08 -208.97933857484
0.05 0.08 -208.977719632338
0.01 0.09 -209.021604800372
0.02 0.09 -208.987440610886
0.05 0.09 -208.977719632338
0.01 0.1 -209.031199218664
0.02 0.1 -208.995836746889
0.05 0.1 -208.977719632338
