D s LL
0.01 0 -626.204412631876
0.02 0 -626.307546218102
0.05 0 -626.552454815987
0.01 0.01 -539.732179903397
0.02 0.01 -546.805052482975
0.05 0.01 -569.336778210444
0.01 0.02 -950.890684038241
0.02 0.02 -887.156001256472
0.05 0.02 -797.784889995607
0.01 0.03 -1600.35384450261
0.02 0.03 -1425.65543435769
0.05 0.03 -1284.59679200407
0.01 0.04 -2430.96773724842
0.02 0.04 -2453.4193151021
0.05 0.04 -2293.47721609779
0.01 0.05 -3061.33529224661
0.02 0.05 -3162.36673121263
0.05 0.05 -3071.41305178425
0.01 0.06 -3541.87801072119
0.02 0.06 -3619.77454849014
0.05 0.06 -3481.81791751243
0.01 0.07 -3840.27133224454
0.02 0.07 -3897.0441024221
0.05 0.07 -3849.71492291785
0.01 0.08 -3926.45671924221
0.02 0.08 -3965.91553696673
0.05 0.08 -3966.04839991228
0.01 0.09 -3975.43275607034
0.02 0.09 -4000.84319862221
0.05 0.09 -3996.93876824757
0.01 0.1 -4017.93418625472
0.02 0.1 -4028.66589482089
0.05 0.1 -4026.6403367826
