D s LL
0.01 0 -260.454193676028
0.02 0 -260.454193676028
0.05 0 -260.454193676028
0.01 0.01 -260.454193676028
0.02 0.01 -260.454193676028
0.05 0.01 -260.454193676028
0.01 0.02 -260.454193676028
0.02 0.02 -260.454193676028
0.05 0.02 -260.454193676028
0.01 0.03 -260.453585940785
0.02 0.03 -260.454193676028
0.05 0.03 -260.454193676028
0.01 0.04 -260.445778028791
0.02 0.04 -260.454193676028
0.05 0.04 -260.454193676028
0.01 0.05 -260.438692809491
0.02 0.05 -260.454193676028
0.05 0.05 -260.454193676028
0.01 0.06 -260.432348483912
0.02 0.06 -260.452317998683
0.05 0.06 -260.454193676028
0.01 0.07 -260.426763742013
0.02 0.07 -260.444587184152
0.05 0.07 -260.454193676028
0.01 0.08 -260.421957776213
0.02 0.08 -260.437581067637
0.05 0.08 -260.454193676028
0.01 0.09 -260.417950295305
0.02 0.09 -260.431317903236
0.05 0.09 -260.454193676028
0.01 0.1 -260.414761538749
0.02 0.1 -260.425816435341
0.05 0.1 -260.454193676028
