D s LL
0.01 0 -2090.1230272553
0.02 0 -2090.1230272553
0.05 0 -2090.1230272553
0.01 0.01 -2090.1230272553
0.02 0.01 -2090.1230272553
0.05 0.01 -2090.1230272553
0.01 0.02 -2090.1230272553
0.02 0.02 -2090.1230272553
0.05 0.02 -2090.1230272553
0.01 0.03 -2090.17350233352
0.02 0.03 -2090.1230272553
0.05 0.03 -2090.1230272553
0.01 0.04 -2088.75963274141
0.02 0.04 -2090.1230272553
0.05 0.04 -2090.1230272553
0.01 0.05 -2085.74898668205
0.02 0.05 -2090.48104549277
0.05 0.05 -2090.1230272553
0.01 0.06 -2085.00454457233
0.02 0.06 -2088.00780085925
0.05 0.06 -2090.15450679645
0.01 0.07 -2090.63069686279
0.02 0.07 -2089.34712312868
0.05 0.07 -2090.16203999843
0.01 0.08 -2116.24191572029
0.02 0.08 -2101.54304331707
0.05 0.08 -2098.19957268445
0.01 0.09 -2178.96359889302
0.02 0.09 -2143.77151409322
0.05 0.09 -2135.78028132691
0.01 0.1 -2316.6358008121
0.02 0.1 -2257.02796018204
0.05 0.1 -2237.36080462397
