D s LL
0.01 0 -458.440240417045
0.02 0 -458.68766024619
0.05 0 -459.285690575393
0.01 0.01 -406.258028942152
0.02 0.01 -397.84334228587
0.05 0.01 -397.486298980013
0.01 0.02 -560.027052538628
0.02 0.02 -518.130617895403
0.05 0.02 -499.585218514472
0.01 0.03 -1768.56677433705
0.02 0.03 -1655.7208313347
0.05 0.03 -1552.7728999079
0.01 0.04 -2038.69576890633
0.02 0.04 -2073.96350471115
0.05 0.04 -2107.63446899691
0.01 0.05 -2192.12791386557
0.02 0.05 -2204.82085219276
0.05 0.05 -2190.55619238069
0.01 0.06 -2261.32299518454
0.02 0.06 -2266.08674162184
0.05 0.06 -2253.05795297463
0.01 0.07 -2281.11858908461
0.02 0.07 -2281.54312269927
0.05 0.07 -2280.26025698249
0.01 0.08 -2291.12585406077
0.02 0.08 -2294.12297810842
0.05 0.08 -2289.8437119767
0.01 0.09 -2317.89133628179
0.02 0.09 -2328.36417616829
0.05 0.09 -2318.95007660236
0.01 0.1 -2361.47430976797
0.02 0.1 -2368.77342961058
0.05 0.1 -2353.3743486343
