D s LL
0.01 0 -4613.40749472301
0.02 0 -3626.01696102427
0.05 0 -3749.91223364425
0.01 0.01 -6709.79619485941
0.02 0.01 -4228.00567836423
0.05 0.01 -3705.53069471021
0.01 0.02 -7378.20316592707
0.02 0.02 -5735.26280696173
0.05 0.02 -4999.63903017104
0.01 0.03 -7752.78823147049
0.02 0.03 -7146.72448122777
0.05 0.03 -6111.63702393903
0.01 0.04 -8004.47041321605
0.02 0.04 -7820.51971805314
0.05 0.04 -7201.69632802305
0.01 0.05 -8276.73987222183
0.02 0.05 -8387.65635625348
0.05 0.05 -7984.15336813462
0.01 0.06 -8545.52624548543
0.02 0.06 -8780.44937445994
0.05 0.06 -8519.31895392617
0.01 0.07 -8777.78984437849
0.02 0.07 -9030.18769607324
0.05 0.07 -8981.96372612786
0.01 0.08 -8953.24084258909
0.02 0.08 -9248.06717569056
0.05 0.08 -9299.87728285078
0.01 0.09 -9085.4839524182
0.02 0.09 -9456.80586319332
0.05 0.09 -9556.70584818846
0.01 0.1 -9213.03086766391
0.02 0.1 -9645.32916590584
0.05 0.1 -9768.42314306666
