D s LL
0.01 0 -313.534367466254
0.02 0 -313.918735795496
0.05 0 -315.013876930992
0.01 0.01 -310.081299707977
0.02 0.01 -305.025243027226
0.05 0.01 -299.316370882797
0.01 0.02 -292.087798656166
0.02 0.02 -266.580688460865
0.05 0.02 -248.788478204568
0.01 0.03 -374.574727482516
0.02 0.03 -381.163818247087
0.05 0.03 -334.036867641268
0.01 0.04 -542.901455303583
0.02 0.04 -659.986973341775
0.05 0.04 -642.477838859161
0.01 0.05 -753.916382333801
0.02 0.05 -934.126864714645
0.05 0.05 -1021.2394607349
0.01 0.06 -953.162797275602
0.02 0.06 -1204.71386248914
0.05 0.06 -1315.58944159259
0.01 0.07 -1132.25111779106
0.02 0.07 -1438.43878359
0.05 0.07 -1574.16430541314
0.01 0.08 -1309.48774228985
0.02 0.08 -1635.05736437276
0.05 0.08 -1823.09914660978
0.01 0.09 -1479.57175643767
0.02 0.09 -1793.38928626099
0.05 0.09 -2004.59462806863
0.01 0.1 -1631.69041858932
0.02 0.1 -1921.99269154864
0.05 0.1 -2139.10300320225
