D s LL
0.01 0 -8.67392968049675
0.02 0 -8.67392968049675
0.05 0 -8.67392968049675
0.01 0.01 -8.67392968049675
0.02 0.01 -8.67392968049675
0.05 0.01 -8.67392968049675
0.01 0.02 -8.67392968049675
0.02 0.02 -8.67392968049675
0.05 0.02 -8.67392968049675
0.01 0.03 -8.67392968049675
0.02 0.03 -8.67392968049675
0.05 0.03 -8.64543262396148
0.01 0.04 -8.67392968049675
0.02 0.04 -8.67392968049675
0.05 0.04 -8.31578523864853
0.01 0.05 -8.67392968049675
0.02 0.05 -8.38165277130521
0.05 0.05 -7.99045744326579
0.01 0.06 -8.67392968049675
0.02 0.06 -8.05533931305102
0.05 0.06 -7.67124373794267
0.01 0.07 -8.67392968049675
0.02 0.07 -7.73480678406417
0.05 0.07 -7.36067950805304
0.01 0.08 -8.36024932521986
0.02 0.08 -7.42244689091962
0.05 0.08 -7.06234517216824
0.01 0.09 -8.03490330660139
0.02 0.09 -7.12162763976149
0.05 0.09 -6.78129316354401
0.01 0.1 -7.71576334726872
0.02 0.1 -6.83708273813465
0.05 0.1 -6.52464450438626
