D s LL
0.01 0 -129.52319275599
0.02 0 -129.641906606984
0.05 0 -134.558168850256
0.01 0.01 -125.02040481411
0.02 0.01 -122.865558603978
0.05 0.01 -127.550043677233
0.01 0.02 -118.466843087929
0.02 0.02 -114.365956985755
0.05 0.02 -118.874322555198
0.01 0.03 -110.741276561355
0.02 0.03 -105.070607205379
0.05 0.03 -109.897376017972
0.01 0.04 -101.049478418315
0.02 0.04 -95.1312558934715
0.05 0.04 -100.435343575649
0.01 0.05 -90.474039192838
0.02 0.05 -84.3694723583483
0.05 0.05 -90.2500306604617
0.01 0.06 -80.167311958966
0.02 0.06 -73.12934739073
0.05 0.06 -79.181419893568
0.01 0.07 -75.3787896834706
0.02 0.07 -64.2906511785666
0.05 0.07 -67.6884741564185
0.01 0.08 -88.0818015620586
0.02 0.08 -69.0845265094279
0.05 0.08 -58.7022821859575
0.01 0.09 -118.918451923187
0.02 0.09 -99.1262119414764
0.05 0.09 -63.0033746721805
0.01 0.1 -156.46200761491
0.02 0.1 -155.36753224468
0.05 0.1 -98.3967143608
