D s LL
0.01 0 -34.0319432577293
0.02 0 -34.0319432577293
0.05 0 -34.0319432577293
0.01 0.01 -34.0319432577293
0.02 0.01 -34.0319432577293
0.05 0.01 -34.0319432577293
0.01 0.02 -34.0319432577293
0.02 0.02 -34.0319432577293
0.05 0.02 -34.0319432577293
0.01 0.03 -34.0319432577293
0.02 0.03 -33.4844474320705
0.05 0.03 -33.103230686961
0.01 0.04 -33.4807968243146
0.02 0.04 -32.4795609762543
0.05 0.04 -32.1379758170469
0.01 0.05 -32.4535811163699
0.02 0.05 -31.5962981811074
0.05 0.05 -30.7459643377554
0.01 0.06 -31.5320230172041
0.02 0.06 -31.1809945539833
0.05 0.06 -28.1444728239183
0.01 0.07 -31.2413702649804
0.02 0.07 -33.1608285307798
0.05 0.07 -28.2655705502885
0.01 0.08 -33.9710486906022
0.02 0.08 -47.8048715490382
0.05 0.08 -49.7045054583066
0.01 0.09 -45.6624937945954
0.02 0.09 -73.6432821380398
0.05 0.09 -71.8644997573477
0.01 0.1 -69.1130831168543
0.02 0.1 -79.9431885179425
0.05 0.1 -74.63204388184
