D s LL
0.01 0 -57.7647842271208
0.02 0 -55.997712068133
0.05 0 -54.4195820244666
0.01 0.01 -57.0504945993387
0.02 0.01 -55.2240583875181
0.05 0.01 -53.3004151273988
0.01 0.02 -56.3475934274577
0.02 0.02 -54.3877572613836
0.05 0.02 -52.1807593201846
0.01 0.03 -55.6621802379576
0.02 0.03 -53.4719629142024
0.05 0.03 -51.0634844384402
0.01 0.04 -55.0022234306358
0.02 0.04 -52.5715727800795
0.05 0.04 -49.9524399507229
0.01 0.05 -54.3779625119955
0.02 0.05 -51.7036953089156
0.05 0.05 -48.852707644094
0.01 0.06 -53.8023058767775
0.02 0.06 -50.8806418072508
0.05 0.06 -47.7709093183271
0.01 0.07 -53.2911466572409
0.02 0.07 -50.1179310629242
0.05 0.07 -46.7155780105964
0.01 0.08 -52.8634777180815
0.02 0.08 -49.4348409697796
0.05 0.08 -45.697599417312
0.01 0.09 -52.5411700679758
0.02 0.09 -48.8548833683539
0.05 0.09 -44.7307246482186
0.01 0.1 -52.3479113679514
0.02 0.1 -48.4060543139535
0.05 0.1 -43.832143281986
