D s LL
0.01 0 -108.689283832163
0.02 0 -108.689283832163
0.05 0 -108.689283832163
0.01 0.01 -108.689283832163
0.02 0.01 -108.689283832163
0.05 0.01 -108.689283832163
0.01 0.02 -108.689283832163
0.02 0.02 -107.949206649026
0.05 0.02 -106.846156976806
0.01 0.03 -107.939983223139
0.02 0.03 -105.7393519217
0.05 0.03 -99.6572385425183
0.01 0.04 -105.993595198714
0.02 0.04 -101.69299708186
0.05 0.04 -85.1403161666091
0.01 0.05 -103.090044154568
0.02 0.05 -96.6879417344568
0.05 0.05 -72.1713241287173
0.01 0.06 -100.972077282262
0.02 0.06 -115.684137486366
0.05 0.06 -103.690065097301
0.01 0.07 -110.998181674282
0.02 0.07 -125.09366254072
0.05 0.07 -184.411064251663
0.01 0.08 -133.829918081514
0.02 0.08 -149.665126953495
0.05 0.08 -387.373056931884
0.01 0.09 -141.595299449842
0.02 0.09 -229.246853030173
0.05 0.09 -544.43193410439
0.01 0.1 -162.075864883819
0.02 0.1 -353.880622180219
0.05 0.1 -704.955775076862
