D s LL
0.01 0 -481.486971759332
0.02 0 -485.136502564441
0.05 0 -487.288274039196
0.01 0.01 -441.073543252248
0.02 0.01 -446.390427231759
0.05 0.01 -462.430107305142
0.01 0.02 -397.300185863319
0.02 0.02 -347.723603386518
0.05 0.02 -335.103611994082
0.01 0.03 -1035.0829376091
0.02 0.03 -866.870909736618
0.05 0.03 -594.687398882436
0.01 0.04 -1559.67951593759
0.02 0.04 -1650.53648441774
0.05 0.04 -1738.75681686592
0.01 0.05 -2141.60750146892
0.02 0.05 -2424.59389161264
0.05 0.05 -2345.94470006394
0.01 0.06 -2551.00759215431
0.02 0.06 -2810.47564963921
0.05 0.06 -2843.33834700713
0.01 0.07 -2809.40253414664
0.02 0.07 -2983.6958784576
0.05 0.07 -3012.70418284402
0.01 0.08 -3015.75756879353
0.02 0.08 -3082.33470389066
0.05 0.08 -3079.80442554745
0.01 0.09 -3133.98517951656
0.02 0.09 -3149.70683396401
0.05 0.09 -3153.8486325221
0.01 0.1 -3232.27498255891
0.02 0.1 -3249.30838095345
0.05 0.1 -3233.87849347399
