Generation,MutationID,X,Y,Frequency,AlleleCount,Chr_Tot
867.0,3042.0,9.0,4.0,0.0055,11.0,2000.0
867.0,3042.0,10.0,4.0,0.0075,15.0,2000.0
867.0,3042.0,1.0,5.0,0.0045,9.0,2000.0
867.0,3042.0,2.0,5.0,0.0055,11.0,2000.0
867.0,3042.0,3.0,5.0,0.0055,11.0,2000.0
867.0,3042.0,4.0,5.0,0.011,22.0,2000.0
867.0,3042.0,5.0,5.0,0.0115,23.0,2000.0
867.0,3042.0,6.0,5.0,0.0085,17.0,2000.0
867.0,3042.0,7.0,5.0,0.007,14.0,2000.0
867.0,3042.0,8.0,5.0,0.007,14.0,2000.0
867.0,3042.0,9.0,5.0,0.0095,19.0,2000.0
867.0,3042.0,10.0,5.0,0.025,50.0,2000.0
