Generation,MutationID,MutType,X,Y,Frequency,AlleleCount,Chr_Tot
603,23796,m1,5.0,5,0.0357143,1,28
603,27331,m1,5.0,5,0.0357143,1,28
603,3701,m1,2.0,3,0.0625,1,16
603,11951,m1,2.0,3,0.0625,1,16
603,6598,m1,2.0,3,0.0625,1,16
603,15978,m1,5.0,1,0.0138889,1,72
603,15992,m1,5.0,1,0.0277778,2,72
603,12914,m1,5.0,1,0.0138889,1,72
603,27358,m1,5.0,1,0.0138889,1,72
603,20910,m1,5.0,1,0.0138889,1,72
603,12745,m2,5.0,1,0.0138889,1,72
603,17549,m1,1.0,7,0.011236,2,178
603,6106,m1,1.0,7,0.0168539,3,178
603,23184,m1,1.0,7,0.00561798,1,178
603,21751,m1,1.0,7,0.00561798,1,178
603,5346,m1,1.0,7,0.00561798,1,178
603,5976,m1,1.0,7,0.00561798,1,178
603,9910,m1,1.0,7,0.011236,2,178
603,19471,m1,1.0,7,0.0224719,4,178
603,12352,m1,1.0,7,0.00561798,1,178
603,17999,m1,1.0,7,0.011236,2,178
603,27440,m1,1.0,7,0.00561798,1,178
603,9373,m2,1.0,7,0.00561798,1,178
603,7849,m1,1.0,7,0.011236,2,178
603,24253,m1,1.0,7,0.00561798,1,178
603,12012,m1,1.0,7,0.00561798,1,178
603,25331,m1,1.0,7,0.00561798,1,178
603,23944,m1,1.0,7,0.00561798,1,178

604,14340,m1,1.0,3,0.0277778,2,72
604,28089,m1,1.0,3,0.0138889,1,72
604,6106,m1,1.0,3,0.0138889,1,72
604,16697,m1,1.0,3,0.0138889,1,72
604,15635,m1,1.0,3,0.0138889,1,72
604,1792,m1,1.0,3,0.0138889,1,72
604,28095,m1,1.0,3,0.0138889,1,72
604,20910,m1,1.0,3,0.0138889,1,72
604,11717,m1,1.0,3,0.0138889,1,72
604,3801,m1,1.0,3,0.0138889,1,72
604,10439,m1,1.0,3,0.0138889,1,72
604,3701,m1,1.0,3,0.0277778,2,72
604,27358,m1,5.0,3,0.02,1,50
604,7561,m1,5.0,3,0.02,1,50
604,6598,m1,5.0,3,0.02,1,50
604,22329,m1,5.0,3,0.02,1,50
604,15635,m1,5.0,3,0.02,1,50
604,28392,m1,5.0,3,0.02,1,50
604,7668,m1,7.0,5,0.0319149,3,94
604,9123,m1,7.0,5,0.0106383,1,94
604,14322,m1,7.0,5,0.0106383,1,94
604,10639,m1,7.0,5,0.0106383,1,94
604,6106,m1,7.0,5,0.0106383,1,94
604,23311,m1,7.0,5,0.0106383,1,94
604,3042,m1,7.0,5,0.0212766,2,94
604,23364,m1,7.0,5,0.0106383,1,94
604,969,m1,7.0,5,0.0106383,1,94
604,14457,m1,7.0,5,0.0106383,1,94
604,19060,m1,7.0,5,0.0106383,1,94
604,9373,m2,7.0,5,0.0106383,1,94
604,6598,m1,7.0,5,0.0319149,3,94
604,7714,m1,7.0,5,0.0106383,1,94
604,17999,m1,4.0,6,0.00666667,1,150
604,26299,m1,4.0,6,0.00666667,1,150
604,3701,m1,4.0,6,0.00666667,1,150
604,18464,m1,4.0,6,0.00666667,1,150
604,5346,m1,4.0,6,0.00666667,1,150
604,9910,m1,4.0,6,0.00666667,1,150
604,5976,m1,4.0,6,0.00666667,1,150
604,25809,m1,4.0,6,0.00666667,1,150
604,6106,m1,4.0,6,0.00666667,1,150
604,9440,m1,4.0,6,0.00666667,1,150
604,11115,m1,4.0,6,0.00666667,1,150
604,27057,m1,4.0,6,0.0133333,2,150
604,27901,m1,4.0,6,0.00666667,1,150
604,7668,m1,4.0,6,0.00666667,1,150
604,11869,m1,4.0,6,0.00666667,1,150
604,7714,m1,4.0,6,0.00666667,1,150
604,240,m1,5.0,8,0.0182927,3,164
604,3118,m1,5.0,8,0.00609756,1,164
604,22763,m1,5.0,8,0.00609756,1,164
604,6100,m1,5.0,8,0.00609756,1,164
604,21553,m1,5.0,8,0.0121951,2,164
604,28756,m1,5.0,8,0.00609756,1,164
604,6106,m1,5.0,8,0.00609756,1,164
604,5346,m1,5.0,8,0.0121951,2,164
604,21492,m1,5.0,8,0.0121951,2,164
604,12699,m1,5.0,8,0.00609756,1,164
604,7714,m1,5.0,8,0.0121951,2,164
604,28416,m1,5.0,8,0.00609756,1,164
604,14322,m1,5.0,8,0.00609756,1,164
604,18513,m1,5.0,8,0.00609756,1,164
604,22329,m1,5.0,8,0.00609756,1,164
604,4465,m1,5.0,8,0.00609756,1,164
604,24395,m1,5.0,8,0.00609756,1,164
604,5976,m1,5.0,8,0.00609756,1,164
604,20910,m1,5.0,8,0.00609756,1,164
604,18061,m1,5.0,8,0.00609756,1,164
604,26434,m1,5.0,8,0.00609756,1,164
604,25804,m1,9.0,7,0.5,1,2
604,27354,m1,4.0,9,0.0454545,1,22
604,12197,m1,4.0,9,0.0454545,1,22
604,21751,m1,4.0,9,0.0454545,1,22
604,8455,m1,6.0,2,0.0140845,2,142
604,6598,m1,6.0,2,0.0140845,2,142
604,4465,m1,6.0,2,0.00704225,1,142
604,28781,m1,6.0,2,0.00704225,1,142
604,28143,m1,6.0,2,0.00704225,1,142
604,12175,m1,6.0,2,0.00704225,1,142
604,27358,m1,6.0,2,0.028169,4,142
604,2597,m1,6.0,2,0.0140845,2,142
604,10128,m1,6.0,2,0.00704225,1,142
604,16697,m1,6.0,2,0.0140845,2,142
604,20910,m1,6.0,2,0.00704225,1,142
604,12745,m2,6.0,2,0.0211268,3,142
604,12699,m1,6.0,2,0.00704225,1,142
604,14111,m1,6.0,2,0.00704225,1,142
604,7561,m1,6.0,2,0.00704225,1,142
604,28780,m1,6.0,2,0.00704225,1,142
604,14340,m1,6.0,2,0.00704225,1,142
604,3801,m1,4.0,8,0.0166667,2,120
604,18513,m1,4.0,8,0.00833333,1,120
604,11834,m1,4.0,8,0.00833333,1,120
604,26659,m1,4.0,8,0.0166667,2,120
604,10639,m1,4.0,8,0.00833333,1,120
604,28119,m1,4.0,8,0.00833333,1,120
604,12197,m1,4.0,8,0.00833333,1,120
604,4465,m1,4.0,8,0.00833333,1,120
604,771,m1,4.0,8,0.00833333,1,120
604,5037,m1,4.0,8,0.0166667,2,120
604,11869,m1,4.0,8,0.0166667,2,120
604,23364,m1,4.0,8,0.00833333,1,120
604,14340,m1,4.0,8,0.00833333,1,120
604,6106,m1,4.0,8,0.0166667,2,120
604,240,m1,4.0,8,0.00833333,1,120
604,8741,m1,4.0,8,0.00833333,1,120
604,3701,m1,4.0,8,0.00833333,1,120
604,12352,m1,4.0,8,0.00833333,1,120
604,21945,m1,4.0,8,0.00833333,1,120
604,240,m1,2.0,6,0.0108696,2,184
604,2597,m1,2.0,6,0.00543478,1,184
604,14340,m1,2.0,6,0.00543478,1,184
604,11834,m1,2.0,6,0.00543478,1,184
604,17549,m1,2.0,6,0.00543478,1,184
604,18035,m1,2.0,6,0.00543478,1,184
604,18464,m1,2.0,6,0.00543478,1,184
604,14457,m1,2.0,6,0.00543478,1,184
604,23364,m1,2.0,6,0.0108696,2,184
604,10639,m1,2.0,6,0.00543478,1,184
604,19471,m1,2.0,6,0.00543478,1,184
604,20208,m1,2.0,6,0.00543478,1,184
604,17999,m1,2.0,6,0.0163043,3,184
604,6106,m1,2.0,6,0.00543478,1,184
604,21492,m1,2.0,6,0.00543478,1,184
604,11399,m1,2.0,6,0.00543478,1,184
604,9373,m2,2.0,6,0.00543478,1,184
604,9440,m1,2.0,6,0.00543478,1,184
604,12197,m1,2.0,6,0.00543478,1,184
604,6100,m1,2.0,6,0.00543478,1,184
604,7714,m1,2.0,6,0.00543478,1,184
604,20048,m1,2.0,6,0.00543478,1,184
604,3701,m1,2.0,6,0.00543478,1,184
604,11951,m1,2.0,6,0.00543478,1,184

605,12699,m1,1.0,1,0.0185185,2,108
605,240,m1,1.0,1,0.037037,4,108
605,3701,m1,1.0,1,0.00925926,1,108
605,2597,m1,1.0,1,0.037037,4,108
605,26299,m1,1.0,1,0.00925926,1,108
605,12352,m1,1.0,1,0.0462963,5,108
605,28089,m1,1.0,1,0.00925926,1,108
605,28179,m1,1.0,1,0.00925926,1,108
605,17864,m1,1.0,1,0.00925926,1,108
605,19083,m1,1.0,1,0.00925926,1,108
605,7849,m1,1.0,1,0.00925926,1,108
605,24237,m1,1.0,1,0.0277778,3,108
605,6106,m1,1.0,1,0.00925926,1,108
605,12278,m1,1.0,1,0.00925926,1,108
605,20910,m1,1.0,1,0.00925926,1,108
605,3042,m1,9.0,8,0.0180723,3,166
605,9440,m1,9.0,8,0.0120482,2,166
605,6598,m1,9.0,8,0.0120482,2,166
605,11869,m1,9.0,8,0.0120482,2,166
605,980,m1,9.0,8,0.0060241,1,166
605,20068,m1,9.0,8,0.0060241,1,166
605,21067,m1,9.0,8,0.0060241,1,166
605,12477,m1,9.0,8,0.0060241,1,166
605,20882,m1,9.0,8,0.0060241,1,166
605,25464,m1,9.0,8,0.0060241,1,166
605,13483,m1,9.0,8,0.0060241,1,166
605,4294,m1,9.0,8,0.0060241,1,166
605,14111,m1,9.0,8,0.0060241,1,166
605,16523,m1,9.0,8,0.0120482,2,166
605,25305,m1,9.0,8,0.0060241,1,166
605,27823,m1,9.0,8,0.0060241,1,166
605,8455,m1,9.0,8,0.0060241,1,166
605,14322,m1,9.0,8,0.0060241,1,166
605,27075,m1,9.0,8,0.0120482,2,166
605,26388,m1,9.0,8,0.0060241,1,166
