Generation,MutationID,X,Y,Frequency,AlleleCount,Chr_Tot
601.0,2578.0,8.0,8.0,0.0454545,3.0,66.0
601.0,3310.0,8.0,8.0,0.030303,2.0,66.0
601.0,2578.0,8.0,9.0,0.030303,2.0,66.0
601.0,2578.0,9.0,2.0,0.228571,16.0,70.0
601.0,2578.0,9.0,3.0,0.0178571,1.0,56.0
601.0,2578.0,9.0,4.0,0.0142857,1.0,70.0
601.0,1280.0,9.0,4.0,0.0285714,2.0,70.0
601.0,1280.0,9.0,5.0,0.0487805,4.0,82.0
601.0,1280.0,9.0,6.0,0.114286,8.0,70.0
601.0,1280.0,9.0,7.0,0.366667,33.0,90.0
601.0,2578.0,9.0,7.0,0.0555556,5.0,90.0
601.0,1280.0,9.0,8.0,0.173913,8.0,46.0
601.0,2578.0,9.0,8.0,0.0217391,1.0,46.0
601.0,1280.0,9.0,9.0,0.0967742,6.0,62.0
601.0,2578.0,10.0,1.0,0.0238095,2.0,84.0
601.0,2578.0,10.0,2.0,0.0138889,1.0,72.0
601.0,2578.0,10.0,3.0,0.0595238,5.0,84.0
601.0,2578.0,10.0,4.0,0.147727,13.0,88.0
601.0,2578.0,10.0,5.0,0.0434783,4.0,92.0
601.0,1280.0,10.0,6.0,0.144444,13.0,90.0
601.0,1280.0,10.0,7.0,0.402778,29.0,72.0
601.0,2578.0,10.0,7.0,0.138889,10.0,72.0
601.0,1280.0,10.0,8.0,0.387097,24.0,62.0
601.0,1280.0,10.0,9.0,0.368421,28.0,76.0

602.0,3060.0,2.0,4.0,0.0102041,1.0,98.0
602.0,3060.0,2.0,5.0,0.0441176,3.0,68.0
602.0,3060.0,3.0,2.0,0.0833333,6.0,72.0
602.0,3060.0,3.0,3.0,0.151515,10.0,66.0
602.0,3060.0,3.0,4.0,0.453125,29.0,64.0
602.0,3060.0,4.0,3.0,0.0454545,2.0,44.0
602.0,3060.0,4.0,4.0,0.33871,21.0,62.0
602.0,3060.0,4.0,5.0,0.16129,10.0,62.0
602.0,3060.0,5.0,2.0,0.0428571,3.0,70.0
602.0,3310.0,5.0,6.0,0.030303,2.0,66.0
602.0,3310.0,5.0,7.0,0.148936,14.0,94.0
602.0,3310.0,5.0,8.0,0.0666667,4.0,60.0
602.0,2578.0,5.0,9.0,0.0853659,7.0,82.0
602.0,1280.0,6.0,4.0,0.0166667,1.0,60.0
602.0,3310.0,6.0,6.0,0.2875,23.0,80.0
602.0,3310.0,6.0,7.0,0.424242,28.0,66.0
602.0,2578.0,6.0,7.0,0.030303,2.0,66.0
602.0,3310.0,6.0,8.0,0.228571,16.0,70.0
602.0,3310.0,6.0,9.0,0.0131579,1.0,76.0
602.0,2578.0,6.0,10.0,0.1625,13.0,80.0
602.0,1280.0,7.0,3.0,0.0111111,1.0,90.0
602.0,1280.0,7.0,4.0,0.283333,17.0,60.0
602.0,2578.0,7.0,4.0,0.133333,8.0,60.0
602.0,2578.0,7.0,5.0,0.0666667,4.0,60.0
