D s LL
0.01 0 -22.530709734235
0.02 0 -23.1162398086945
0.05 0 -26.0137185422831
0.01 0.01 -21.4709483057034
0.02 0.01 -21.940625532644
0.05 0.01 -24.8758993107137
0.01 0.02 -20.5437244501132
0.02 0.02 -20.7847906056632
0.05 0.02 -23.7232457526054
0.01 0.03 -19.8539559966858
0.02 0.03 -19.6837019634345
0.05 0.03 -22.5608652645603
0.01 0.04 -19.5621486118151
0.02 0.04 -18.6925898878403
0.05 0.04 -21.3988253466047
0.01 0.05 -19.9069989045605
0.02 0.05 -17.8953223958772
0.05 0.05 -20.2548298653103
0.01 0.06 -21.2265429922382
0.02 0.06 -17.4154493718222
0.05 0.06 -19.1578968826592
0.01 0.07 -23.9533645997327
0.02 0.07 -17.4299910360649
0.05 0.07 -18.1532623320568
0.01 0.08 -28.5309042101593
0.02 0.08 -18.1841057561077
0.05 0.08 -17.3087578843952
0.01 0.09 -35.2061716897129
0.02 0.09 -19.9996373762683
0.05 0.09 -16.722883485766
0.01 0.1 -43.7929050215556
0.02 0.1 -23.2607563439286
0.05 0.1 -16.5345210655993
