D s LL
0.01 0 -30.8039854946409
0.02 0 -30.1267984675051
0.05 0 -29.6515053555729
0.01 0.01 -29.9019068148547
0.02 0.01 -29.2444608777546
0.05 0.01 -28.2363166381646
0.01 0.02 -29.0141825080553
0.02 0.02 -28.3853175376362
0.05 0.02 -26.8358303195326
0.01 0.03 -28.1524142606173
0.02 0.03 -27.1629962878283
0.05 0.03 -25.4627959399258
0.01 0.04 -27.3373998040085
0.02 0.04 -25.877354163218
0.05 0.04 -24.1394302839828
0.01 0.05 -26.6074135417996
0.02 0.05 -24.7027457631244
0.05 0.05 -22.9044693089252
0.01 0.06 -26.0351517404024
0.02 0.06 -23.7264473284283
0.05 0.06 -21.8259148515273
0.01 0.07 -25.7563952354128
0.02 0.07 -23.1099199439195
0.05 0.07 -21.0246668711744
0.01 0.08 -25.6297344066772
0.02 0.08 -23.1544455183917
0.05 0.08 -20.7192714788261
0.01 0.09 -26.1420716277228
0.02 0.09 -24.391004012813
0.05 0.09 -21.3100208903726
0.01 0.1 -27.807357345492
0.02 0.1 -27.5905469961993
0.05 0.1 -23.5193894085117
