D s LL
0.01 0 -217404.608140618
0.02 0 -227606.796564066
0.05 0 -234155.431479396
0.01 0.01 -220880.891992463
0.02 0.01 -230543.065583639
0.05 0.01 -237054.622385021
0.01 0.02 -224199.639640656
0.02 0.02 -233264.695592471
0.05 0.02 -239770.005762078
0.01 0.03 -227368.842329612
0.02 0.03 -235817.15469024
0.05 0.03 -242281.060014155
0.01 0.04 -230386.854845889
0.02 0.04 -238232.997002313
0.05 0.04 -244590.716106818
0.01 0.05 -233251.970527719
0.02 0.05 -240525.831497991
0.05 0.05 -246709.388079233
0.01 0.06 -235930.940309681
0.02 0.06 -242701.019503541
0.05 0.06 -248654.57446857
0.01 0.07 -238380.034851933
0.02 0.07 -244761.825621852
0.05 0.07 -250444.070601644
0.01 0.08 -240600.231340186
0.02 0.08 -246712.453017619
0.05 0.08 -252093.901503915
0.01 0.09 -242640.007391529
0.02 0.09 -248548.491929681
0.05 0.09 -253618.344776959
0.01 0.1 -244537.167867459
0.02 0.1 -250263.450359047
0.05 0.1 -255028.138377719
