D s LL
0.01 0 -10.2077719216269
0.02 0 -7.89899929233861
0.05 0 -6.18980835469773
0.01 0.01 -10.6576650172962
0.02 0.01 -8.12928406217577
0.05 0.01 -6.15265952332183
0.01 0.02 -11.1645834844592
0.02 0.02 -8.3999932302065
0.05 0.02 -6.13387017982809
0.01 0.03 -11.7313853943388
0.02 0.03 -8.71363244954135
0.05 0.03 -6.13488095224855
0.01 0.04 -12.3607092533769
0.02 0.04 -9.07267876184478
0.05 0.04 -6.15720956147853
0.01 0.05 -13.05489758972
0.02 0.05 -9.47954061617231
0.05 0.05 -6.20244789664599
0.01 0.06 -13.8159163427012
0.02 0.06 -9.93651256212129
0.05 0.06 -6.27225739508295
0.01 0.07 -14.6452726549384
0.02 0.07 -10.4457251442039
0.05 0.07 -6.36836247403961
0.01 0.08 -15.5439343027168
0.02 0.08 -11.0090908856121
0.05 0.08 -6.4925417638488
0.01 0.09 -16.5122545240525
0.02 0.09 -11.6282476439865
0.05 0.09 -6.64661690693113
0.01 0.1 -17.5499063338212
0.02 0.1 -12.3045010241445
0.05 0.1 -6.83243871683031
