D s LL
0.01 0 -703.997814858951
0.02 0 -709.402898233311
0.05 0 -712.725878760849
0.01 0.01 -555.953304817992
0.02 0.01 -565.776143991044
0.05 0.01 -596.492640744539
0.01 0.02 -1540.06332468997
0.02 0.02 -1472.69136592386
0.05 0.02 -1272.42278979779
0.01 0.03 -1885.46471574251
0.02 0.03 -1855.22248901004
0.05 0.03 -1794.2877169967
0.01 0.04 -2226.27336901385
0.02 0.04 -2205.88400304136
0.05 0.04 -2109.1081653905
0.01 0.05 -2585.84901203246
0.02 0.05 -2556.44979119472
0.05 0.05 -2468.33801855466
0.01 0.06 -2913.63582725125
0.02 0.06 -2932.81525697764
0.05 0.06 -2863.22513209764
0.01 0.07 -3334.89084609964
0.02 0.07 -3320.38782882354
0.05 0.07 -3183.59846671271
0.01 0.08 -3659.69472052769
0.02 0.08 -3649.75083624786
0.05 0.08 -3483.43824236672
0.01 0.09 -3811.6586563738
0.02 0.09 -3825.95459937811
0.05 0.09 -3741.45202869497
0.01 0.1 -3896.68313369701
0.02 0.1 -3928.38785631422
0.05 0.1 -3904.96485226123
