D s LL
0.01 0 -27.040118323124
0.02 0 -24.9434418342295
0.05 0 -22.7833195551507
0.01 0.01 -26.7740610871696
0.02 0.01 -24.641185058825
0.05 0.01 -22.4014905849078
0.01 0.02 -26.5281494085319
0.02 0.02 -24.3613668544404
0.05 0.02 -22.0398972607896
0.01 0.03 -26.3036611612762
0.02 0.03 -24.1058378512947
0.05 0.03 -21.700777259479
0.01 0.04 -26.1019080557628
0.02 0.04 -23.8765476935466
0.05 0.04 -21.3865517664428
0.01 0.05 -25.9242281321252
0.02 0.05 -23.6755379144612
0.05 0.05 -21.0998295243971
0.01 0.06 -25.7719780314944
0.02 0.06 -23.5049319175107
0.05 0.06 -20.843407169938
0.01 0.07 -25.6465258276623
0.02 0.07 -23.3669221227099
0.05 0.07 -20.6202647370092
0.01 0.08 -25.5492452740085
0.02 0.08 -23.263754523231
0.05 0.08 -20.4335550943381
0.01 0.09 -25.4815122499745
0.02 0.09 -23.1977110610242
0.05 0.09 -20.2865860223587
0.01 0.1 -25.4447039534688
0.02 0.1 -23.1710903288177
0.05 0.1 -20.1827936497346
