D s LL
0.01 0 -1990.41079495224
0.02 0 -1231.67686488098
0.05 0 -1352.19638215594
0.01 0.01 -3231.82326360547
0.02 0.01 -2670.42093121968
0.05 0.01 -1912.97196342819
0.01 0.02 -3372.72933404607
0.02 0.02 -3141.69084143107
0.05 0.02 -2800.10935804176
0.01 0.03 -3406.27820817787
0.02 0.03 -3347.49530675468
0.05 0.03 -3135.85719971271
0.01 0.04 -3453.40322484443
0.02 0.04 -3399.84552143361
0.05 0.04 -3290.54378160881
0.01 0.05 -3510.1899972147
0.02 0.05 -3466.76730108347
0.05 0.05 -3384.79098864406
0.01 0.06 -3540.11438901361
0.02 0.06 -3503.6542505075
0.05 0.06 -3435.72494450725
0.01 0.07 -3554.02751902517
0.02 0.07 -3526.72571796571
0.05 0.07 -3471.94285069514
0.01 0.08 -3561.56734867723
0.02 0.08 -3541.96702025576
0.05 0.08 -3488.95854002711
0.01 0.09 -3566.74375430703
0.02 0.09 -3551.5740569769
0.05 0.09 -3503.92396445801
0.01 0.1 -3571.56714438581
0.02 0.1 -3560.37165012348
0.05 0.1 -3521.97915344402
