D s LL
0.01 0 -410.952459444729
0.02 0 -410.952459444729
0.05 0 -410.952459444729
0.01 0.01 -410.952459444729
0.02 0.01 -410.952459444729
0.05 0.01 -410.952459444729
0.01 0.02 -410.952459444729
0.02 0.02 -410.952459444729
0.05 0.02 -410.952459444729
0.01 0.03 -410.960373793853
0.02 0.03 -410.952459444729
0.05 0.03 -410.952459444729
0.01 0.04 -411.03432859203
0.02 0.04 -410.952459444729
0.05 0.04 -410.952459444729
0.01 0.05 -411.113410488993
0.02 0.05 -410.952459444729
0.05 0.05 -410.952459444729
0.01 0.06 -411.197903139543
0.02 0.06 -410.979403665639
0.05 0.06 -410.952459444729
0.01 0.07 -411.288107076049
0.02 0.07 -411.054523331821
0.05 0.07 -410.952459444729
0.01 0.08 -411.384340751666
0.02 0.08 -411.134838732604
0.05 0.08 -410.952459444729
0.01 0.09 -411.486941648518
0.02 0.09 -411.220637713818
0.05 0.09 -410.952459444729
0.01 0.1 -411.596267454751
0.02 0.1 -411.312225255795
0.05 0.1 -410.952459444729
