D s LL
0.01 0 -523.583484789353
0.02 0 -523.583484789353
0.05 0 -523.583484789353
0.01 0.01 -523.583484789353
0.02 0.01 -523.583484789353
0.05 0.01 -523.583484789353
0.01 0.02 -523.583484789353
0.02 0.02 -523.583484789353
0.05 0.02 -523.583484789353
0.01 0.03 -523.583484789353
0.02 0.03 -523.583484789353
0.05 0.03 -523.583484789353
0.01 0.04 -523.606952078939
0.02 0.04 -523.583484789353
0.05 0.04 -523.583484789353
0.01 0.05 -523.75644981507
0.02 0.05 -523.583484789353
0.05 0.05 -523.583484789353
0.01 0.06 -523.921175229727
0.02 0.06 -523.583484789353
0.05 0.06 -523.583484789353
0.01 0.07 -524.102434570446
0.02 0.07 -523.583484789353
0.05 0.07 -523.583484789353
0.01 0.08 -524.301655693999
0.02 0.08 -523.671058583992
0.05 0.08 -523.583484789353
0.01 0.09 -524.520399853854
0.02 0.09 -523.827863033017
0.05 0.09 -523.583484789353
0.01 0.1 -524.76037463894
0.02 0.1 -524.000571827738
0.05 0.1 -523.583484789353
