D s LL
0.01 0 -33.8952275385865
0.02 0 -27.7599732897419
0.05 0 -38.2166414833581
0.01 0.01 -42.4397544820024
0.02 0.01 -21.0370592368799
0.05 0.01 -34.4590719869751
0.01 0.02 -46.2602880800183
0.02 0.02 -31.5304118163275
0.05 0.02 -30.3091577635647
0.01 0.03 -54.0626308695086
0.02 0.03 -48.4710021084353
0.05 0.03 -25.7032520072058
0.01 0.04 -65.7342940233597
0.02 0.04 -64.5049046809005
0.05 0.04 -22.4955268919133
0.01 0.05 -81.690287940043
0.02 0.05 -89.109025378899
0.05 0.05 -42.0349316037461
0.01 0.06 -100.319572649745
0.02 0.06 -113.005478761208
0.05 0.06 -72.0300623185602
0.01 0.07 -117.574574917296
0.02 0.07 -134.6266165796
0.05 0.07 -107.974082730722
0.01 0.08 -132.895852103684
0.02 0.08 -153.878994264975
0.05 0.08 -138.380372139699
0.01 0.09 -147.700573368958
0.02 0.09 -169.466967506222
0.05 0.09 -157.387691131917
0.01 0.1 -162.974753845372
0.02 0.1 -182.02679847824
0.05 0.1 -168.823090397974
