D s LL
0.01 0 -334.676458630123
0.02 0 -334.676458630123
0.05 0 -334.676458630123
0.01 0.01 -334.676458630123
0.02 0.01 -334.676458630123
0.05 0.01 -334.676458630123
0.01 0.02 -334.676458630123
0.02 0.02 -334.676458630123
0.05 0.02 -334.676458630123
0.01 0.03 -334.676458630123
0.02 0.03 -334.676458630123
0.05 0.03 -334.676458630123
0.01 0.04 -334.674307769413
0.02 0.04 -334.676458630123
0.05 0.04 -334.676458630123
0.01 0.05 -334.64150954722
0.02 0.05 -334.676458630123
0.05 0.05 -334.676458630123
0.01 0.06 -334.611052020891
0.02 0.06 -334.676458630123
0.05 0.06 -334.676458630123
0.01 0.07 -334.58302893817
0.02 0.07 -334.676458630123
0.05 0.07 -334.676458630123
0.01 0.08 -334.557538086849
0.02 0.08 -334.670085924552
0.05 0.08 -334.676458630123
0.01 0.09 -334.534681475184
0.02 0.09 -334.637824082442
0.05 0.09 -334.676458630123
0.01 0.1 -334.514565520401
0.02 0.1 -334.607925601443
0.05 0.1 -334.676458630123
