D s LL
0.01 0 -13.2619293797821
0.02 0 -13.2619293797821
0.05 0 -13.2619293797821
0.01 0.01 -13.2619293797821
0.02 0.01 -13.2619293797821
0.05 0.01 -13.2619293797821
0.01 0.02 -13.2619293797821
0.02 0.02 -13.2619293797821
0.05 0.02 -13.2619293797821
0.01 0.03 -13.2619293797821
0.02 0.03 -13.2619293797821
0.05 0.03 -13.2619293797821
0.01 0.04 -13.2619293797821
0.02 0.04 -13.2619293797821
0.05 0.04 -13.2619293797821
0.01 0.05 -13.2619293797821
0.02 0.05 -13.2619293797821
0.05 0.05 -12.7966717901036
0.01 0.06 -13.2619293797821
0.02 0.06 -13.2619293797821
0.05 0.06 -11.8292111515721
0.01 0.07 -13.2619293797821
0.02 0.07 -13.2619293797821
0.05 0.07 -10.884100393103
0.01 0.08 -13.2619293797821
0.02 0.08 -13.2619293797821
0.05 0.08 -9.97750114913719
0.01 0.09 -13.2619293797821
0.02 0.09 -12.6364330567173
0.05 0.09 -9.13799524279504
0.01 0.1 -13.2619293797821
0.02 0.1 -11.6731080149386
0.05 0.1 -8.41686200374213
