D s LL
0.01 0 -13.651501156981
0.02 0 -13.713838984696
0.05 0 -13.713838984696
0.01 0.01 -13.3527733092264
0.02 0.01 -13.4959621206637
0.05 0.01 -13.713838984696
0.01 0.02 -13.0585135290909
0.02 0.02 -13.1998240476813
0.05 0.02 -13.713838984696
0.01 0.03 -12.7704114075626
0.02 0.03 -12.7159893935155
0.05 0.03 -13.2689019276957
0.01 0.04 -12.1726969766998
0.02 0.04 -11.9899870003635
0.05 0.04 -12.5319804562386
0.01 0.05 -11.4623681185647
0.02 0.05 -11.2790568425643
0.05 0.05 -11.8057383009993
0.01 0.06 -10.773809672506
0.02 0.06 -10.5900622267407
0.05 0.06 -11.09534526973
0.01 0.07 -10.116677438108
0.02 0.07 -9.93315427567951
0.05 0.07 -10.4086042895232
0.01 0.08 -9.50510171641315
0.02 0.08 -9.32344296233472
0.05 0.08 -9.38477342716909
0.01 0.09 -8.9598627378597
0.02 0.09 -8.78356434040893
0.05 0.09 -8.3850631937338
0.01 0.1 -8.51163261773648
0.02 0.1 -8.34762838356894
0.05 0.1 -7.47649622289167
