D s LL
0.01 0 -9.3916094361035
0.02 0 -9.3916094361035
0.05 0 -9.3916094361035
0.01 0.01 -9.3916094361035
0.02 0.01 -9.3916094361035
0.05 0.01 -9.3916094361035
0.01 0.02 -9.3916094361035
0.02 0.02 -9.3916094361035
0.05 0.02 -9.3916094361035
0.01 0.03 -9.3916094361035
0.02 0.03 -9.3916094361035
0.05 0.03 -9.3916094361035
0.01 0.04 -9.3916094361035
0.02 0.04 -9.3916094361035
0.05 0.04 -9.3916094361035
0.01 0.05 -9.3916094361035
0.02 0.05 -9.3916094361035
0.05 0.05 -9.3916094361035
0.01 0.06 -9.3916094361035
0.02 0.06 -9.3916094361035
0.05 0.06 -9.3916094361035
0.01 0.07 -9.3916094361035
0.02 0.07 -9.3916094361035
0.05 0.07 -9.3916094361035
0.01 0.08 -9.3916094361035
0.02 0.08 -9.3916094361035
0.05 0.08 -9.3916094361035
0.01 0.09 -9.3916094361035
0.02 0.09 -9.3916094361035
0.05 0.09 -9.3916094361035
0.01 0.1 -9.3916094361035
0.02 0.1 -9.3916094361035
0.05 0.1 -9.3916094361035
