D s LL
0.01 0 -13.6834278022001
0.02 0 -13.6834278022001
0.05 0 -13.6834278022001
0.01 0.01 -13.6834278022001
0.02 0.01 -13.6834278022001
0.05 0.01 -13.6834278022001
0.01 0.02 -13.6834278022001
0.02 0.02 -13.6834278022001
0.05 0.02 -13.6834278022001
0.01 0.03 -13.6834278022001
0.02 0.03 -13.6834278022001
0.05 0.03 -13.6834278022001
0.01 0.04 -13.6834278022001
0.02 0.04 -13.6834278022001
0.05 0.04 -13.6834278022001
0.01 0.05 -13.6834278022001
0.02 0.05 -13.6834278022001
0.05 0.05 -13.6834278022001
0.01 0.06 -13.6834278022001
0.02 0.06 -13.6834278022001
0.05 0.06 -13.6834278022001
0.01 0.07 -13.6834278022001
0.02 0.07 -13.6834278022001
0.05 0.07 -13.6834278022001
0.01 0.08 -13.6834278022001
0.02 0.08 -13.6834278022001
0.05 0.08 -13.6834278022001
0.01 0.09 -13.6834278022001
0.02 0.09 -13.6834278022001
0.05 0.09 -13.6834278022001
0.01 0.1 -13.6834278022001
0.02 0.1 -13.6834278022001
0.05 0.1 -13.6834278022001
