D s LL
0.01 0 -229.924133389244
0.02 0 -230.382372479372
0.05 0 -231.216790908826
0.01 0.01 -211.315439155065
0.02 0.01 -215.119783739358
0.05 0.01 -224.32850713281
0.01 0.02 -204.315408562069
0.02 0.02 -181.806060228883
0.05 0.02 -188.465594967078
0.01 0.03 -445.791188559167
0.02 0.03 -361.713259491711
0.05 0.03 -267.663026291059
0.01 0.04 -712.743238645907
0.02 0.04 -653.9678782456
0.05 0.04 -558.348286973675
0.01 0.05 -752.486273918027
0.02 0.05 -754.645172402166
0.05 0.05 -726.51170395204
0.01 0.06 -802.151214974955
0.02 0.06 -812.289580128675
0.05 0.06 -783.630766493818
0.01 0.07 -926.978183176597
0.02 0.07 -940.399927912448
0.05 0.07 -891.090071446429
0.01 0.08 -1019.59572561775
0.02 0.08 -1043.43204200452
0.05 0.08 -988.772306074279
0.01 0.09 -1096.77513488444
0.02 0.09 -1106.48686074326
0.05 0.09 -1065.22002861618
0.01 0.1 -1126.25002045665
0.02 0.1 -1120.79968732218
0.05 0.1 -1117.05260735216
