D s LL
0.01 0 -369.745537196706
0.02 0 -369.745537196706
0.05 0 -369.745537196706
0.01 0.01 -369.745537196706
0.02 0.01 -369.745537196706
0.05 0.01 -369.745537196706
0.01 0.02 -369.745537196706
0.02 0.02 -369.745537196706
0.05 0.02 -369.745537196706
0.01 0.03 -369.745537196706
0.02 0.03 -369.745537196706
0.05 0.03 -369.745537196706
0.01 0.04 -369.745317362261
0.02 0.04 -369.745537196706
0.05 0.04 -369.745537196706
0.01 0.05 -369.7245804685
0.02 0.05 -369.745537196706
0.05 0.05 -369.745537196706
0.01 0.06 -369.707169379844
0.02 0.06 -369.745537196706
0.05 0.06 -369.745537196706
0.01 0.07 -369.693248515834
0.02 0.07 -369.745537196706
0.05 0.07 -369.745537196706
0.01 0.08 -369.682991043926
0.02 0.08 -369.746271962893
0.05 0.08 -369.745537196706
0.01 0.09 -369.676579354795
0.02 0.09 -369.726444319364
0.05 0.09 -369.745537196706
0.01 0.1 -369.674205562941
0.02 0.1 -369.709990111872
0.05 0.1 -369.745537196706
